City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Salalah,OM,84.2,89,75,8.05,1592580893,54.09,17.02
Vaini,TO,73.4,83,20,11.41,1592581175,-175.2,-21.2
Gemena,CD,75.42,88,99,2.28,1592581449,19.77,3.25
Mataura,NZ,39.0,83,100,3.0,1592581175,168.86,-46.19
Saint George,US,73.4,17,1,6.93,1592580674,-113.58,37.1
Highland Springs,US,81.0,65,75,7.31,1592581450,-77.33,37.55
Ouadda,CF,74.75,88,89,2.28,1592580930,22.4,8.08
Cherskiy,RU,69.71,45,74,1.88,1592581451,161.3,68.75
Avera,US,80.6,88,90,1.81,1592580930,-82.53,33.19
Arraial do Cabo,BR,82.4,45,71,6.93,1592580851,-42.03,-22.97
Puerto Quijarro,BO,91.62,37,17,8.7,1592581451,-57.77,-17.78
Tucuruí,BR,86.74,53,40,5.57,1592581451,-49.67,-3.77
Albany,US,82.99,65,25,4.65,1592580903,-73.97,42.6
Puerto Ayora,EC,72.0,83,75,13.87,1592581175,-90.35,-0.74
Butaritari,KI,81.84,72,76,4.16,1592580862,172.79,3.07
Mandan,US,62.6,67,75,12.75,1592581452,-100.89,46.83
Manono,CD,80.94,38,13,4.97,1592581453,27.42,-7.3
Punta Arenas,CL,35.6,93,75,9.17,1592581453,-70.92,-53.15
Bathsheba,BB,80.6,88,40,8.05,1592581035,-59.52,13.22
Concepción del Uruguay,AR,62.01,68,61,1.99,1592581454,-58.24,-32.48
Eugene,US,64.0,82,40,2.28,1592581024,-123.09,44.05
Cape Town,ZA,73.99,55,0,18.34,1592580759,18.42,-33.93
Yangambi,CD,80.8,57,97,1.05,1592581455,24.43,0.81
Krasnosel'kup,RU,51.64,48,81,13.67,1592581455,82.47,65.7
George Town,MY,80.6,94,20,2.08,1592581017,100.34,5.41
Tignère,CM,70.07,92,99,2.57,1592581067,12.65,7.37
Bahía Honda,CU,84.85,71,97,5.95,1592581456,-83.16,22.9
Fort Morgan,US,62.6,51,90,6.93,1592581456,-103.8,40.25
Namanyere,TZ,64.74,66,83,3.06,1592581457,31.05,-7.52
Padang,ID,79.25,78,100,3.36,1592581457,100.35,-0.95
Tokur,RU,40.41,92,21,2.42,1592581457,132.9,53.13
Castro,BR,70.81,63,0,8.75,1592580872,-50.01,-24.79
Hobart,AU,44.01,93,40,6.93,1592581426,147.33,-42.88
Longyearbyen,SJ,41.0,80,75,14.99,1592580859,15.64,78.22
Dikson,RU,34.07,90,0,6.96,1592580860,80.55,73.51
Isangel,VU,71.6,94,90,13.91,1592581035,169.27,-19.55
Saskylakh,RU,69.24,47,39,6.49,1592580872,114.08,71.92
Grand Forks,US,62.6,55,75,17.22,1592581461,-97.03,47.93
Biltine,TD,104.23,9,65,12.1,1592581461,20.92,14.53
Torbay,CA,57.99,87,90,9.17,1592580899,-52.73,47.67
Boa Vista,BR,80.6,78,75,8.05,1592580799,-60.67,2.82
Kaeo,NZ,55.99,3,97,11.99,1592580929,173.78,-35.1
Cervo,ES,68.0,64,20,7.0,1592581225,-7.41,43.67
Labuhan,ID,78.35,83,100,6.22,1592581026,112.21,-6.88
Manbij,SY,77.0,44,40,16.11,1592581462,37.95,36.53
Sagarejo,GE,78.8,41,75,8.05,1592581462,45.33,41.73
Matara,LK,81.19,84,90,9.28,1592581462,80.54,5.95
Khatanga,RU,56.23,62,42,12.46,1592580880,102.5,71.97
Krasnyy,RU,76.19,74,100,3.4,1592581463,31.43,54.57
Ancud,CL,51.01,81,20,8.05,1592580921,-73.82,-41.87
Caledonia,US,84.99,54,1,4.7,1592581463,-87.92,42.81
Pangoa,PE,81.03,63,3,2.28,1592580940,-73.0,-12.12
Bukama,CD,78.96,35,1,2.57,1592581463,25.85,-9.2
Hasaki,JP,64.4,93,75,12.75,1592581000,140.83,35.73
Varhaug,NO,71.6,64,75,8.05,1592581464,5.65,58.61
Bogandé,BF,83.88,60,80,8.37,1592581465,-0.14,12.97
Barrow,US,33.8,87,90,13.87,1592581445,-156.79,71.29
Norman Wells,CA,66.2,72,75,4.7,1592580908,-126.83,65.28
Taoudenni,ML,115.86,5,0,9.4,1592580891,-3.98,22.68
Severo-Kuril'sk,RU,41.61,92,100,15.84,1592581465,156.12,50.68
Benguela,AO,80.6,74,20,6.93,1592580892,13.41,-12.58
Lüderitz,NA,80.6,21,0,9.17,1592580940,15.16,-26.65
Ust-Maya,RU,57.18,74,77,1.1,1592581063,134.53,60.42
Anadyr,RU,46.4,81,63,4.47,1592580900,177.48,64.75
Muroto-misakicho,JP,71.62,78,12,5.1,1592581466,134.15,33.28
Kavieng,PG,82.06,75,3,3.47,1592580870,150.8,-2.57
Petropavlovsk-Kamchatskiy,RU,41.0,100,90,2.24,1592581018,158.65,53.05
Zhigansk,RU,62.46,52,10,4.76,1592580929,123.37,66.77
Cidreira,BR,64.02,82,85,6.49,1592581467,-50.21,-30.18
Nicoya,CR,78.8,88,40,3.36,1592581467,-85.45,10.15
Vardø,NO,48.2,61,75,14.99,1592581468,31.11,70.37
Hilo,US,73.4,83,90,3.36,1592581468,-155.09,19.73
Deputatsky,RU,62.62,51,2,2.37,1592581022,139.9,69.3
Vestmannaeyjar,IS,53.6,71,40,12.75,1592581033,-20.27,63.44
Narsaq,GL,50.0,53,75,4.7,1592580882,-46.05,60.92
Oga,IT,48.99,81,75,3.36,1592581469,10.35,46.46
Barra do Garças,BR,86.0,45,70,9.17,1592581469,-52.26,-15.89
Poum,NC,72.48,75,1,8.99,1592580892,164.02,-20.23
Saint-Philippe,RE,69.8,73,75,23.04,1592581176,55.77,-21.36
Saint Paul Harbor,US,46.4,87,90,3.36,1592581470,-152.41,57.79
Port Elizabeth,ZA,75.2,29,0,3.36,1592581014,25.57,-33.92
Kathu,TH,78.8,94,20,1.12,1592580921,98.33,7.92
Byron Bay,AU,57.2,100,75,5.82,1592581471,153.62,-28.65
Baharly,TM,93.25,11,0,13.2,1592581471,57.43,38.44
Saint-François,FR,71.6,43,52,6.93,1592581471,3.91,46.42
Ostrovnoy,RU,42.93,74,100,24.74,1592580871,39.51,68.05
Malbork,PL,73.99,68,20,8.05,1592581471,19.03,54.04
Bowen,AU,66.99,88,75,6.93,1592581042,148.23,-20.02
Mahébourg,MU,71.6,68,75,16.11,1592580880,57.7,-20.41
Hermanus,ZA,68.0,48,0,5.99,1592581179,19.23,-34.42
Lillooet,CA,62.6,67,20,3.36,1592581472,-121.94,50.69
Ahipara,NZ,56.62,85,100,14.85,1592580998,173.17,-35.17
Pemba,MZ,78.8,69,75,17.22,1592581472,40.52,-12.97
Ponta do Sol,PT,75.2,64,40,19.46,1592580913,-17.1,32.67
Maniitsoq,GL,40.93,85,27,16.71,1592581023,-52.9,65.42
Mount Hagen,PG,58.64,92,100,0.63,1592581473,144.23,-5.86
Mananara,MG,69.01,89,100,10.58,1592581473,49.77,-16.17
Charlestown,AU,53.01,92,6,5.66,1592581473,151.67,-32.95
Tuatapere,NZ,39.0,83,96,3.0,1592580938,167.68,-46.13
Port Lincoln,AU,54.23,78,1,12.01,1592581277,135.87,-34.73
Te Anau,NZ,35.71,85,88,1.48,1592580890,167.72,-45.42
Ilulissat,GL,55.4,28,40,20.8,1592580978,-51.1,69.22
Chokurdakh,RU,75.69,36,38,3.85,1592581474,147.92,70.63
Montague,US,82.99,60,33,1.01,1592581474,-72.54,42.54
Sioux Lookout,CA,57.2,76,90,8.05,1592580913,-91.92,50.1
Alta Floresta,BR,89.6,43,6,11.41,1592580919,-56.09,-9.88
Kaka,TM,87.8,12,0,8.81,1592581474,59.61,37.35
Dilla,ET,64.67,81,76,2.51,1592581474,38.31,6.41
Severnyy,RU,77.0,50,75,17.9,1592581475,36.55,50.68
Evensk,RU,48.36,89,59,3.83,1592581047,159.23,61.95
Arrondissement de Nogent-le-Rotrou,FR,69.8,56,75,6.93,1592581475,1.0,48.33
Lorengau,PG,82.17,75,7,4.43,1592580911,147.27,-2.02
Bredasdorp,ZA,69.8,52,0,2.53,1592581475,20.04,-34.53
Necochea,AR,57.0,71,97,11.01,1592581008,-58.74,-38.55
Balikpapan,ID,76.08,89,99,5.84,1592581476,116.83,-1.27
Wanaka,NZ,30.99,86,74,1.99,1592581251,169.15,-44.7
Tiksi,RU,57.02,63,0,7.05,1592581476,128.87,71.69
Gizo Government Station,SB,82.29,77,12,3.74,1592581053,156.84,-8.1
Casablanca,MA,77.0,56,40,20.8,1592581209,-7.62,33.59
Dwārka,IN,86.7,77,89,21.18,1592581044,68.97,22.24
Kitgum,UG,70.61,86,34,1.9,1592581476,32.89,3.28
Alabino,RU,78.01,53,40,4.47,1592581477,37.01,55.53
Monrovia,LR,86.0,70,75,12.75,1592581477,-10.8,6.3
Margate,GB,68.0,61,64,4.0,1592580748,1.39,51.38
Talnakh,RU,48.2,76,75,15.66,1592581200,88.4,69.49
Río Gallegos,AR,30.2,100,75,6.93,1592580890,-69.22,-51.62
Conceição da Barra,BR,78.39,76,20,9.17,1592581368,-39.73,-18.59
Forsytheganj,BY,74.59,82,55,9.04,1592580912,29.73,52.63
Mafinga,TZ,73.53,43,27,2.53,1592581478,35.07,-7.25
Raja,SS,73.99,88,100,1.28,1592581035,25.68,8.46
Provideniya,RU,54.91,53,24,3.76,1592581478,-173.3,64.38
Caucayá,CO,81.72,78,76,3.6,1592581478,-74.78,-0.19
Thompson,CA,39.2,100,90,8.05,1592581478,-97.86,55.74
Kaitangata,NZ,39.34,85,100,8.93,1592580882,169.85,-46.28
Aklavik,CA,53.6,71,90,8.05,1592581478,-135.01,68.22
Najrān,SA,98.6,12,40,9.17,1592580908,44.13,17.49
Avarua,CK,71.6,68,6,6.93,1592581479,-159.78,-21.21
Guanambi,BR,82.74,46,66,9.57,1592581424,-42.78,-14.22
Tasiilaq,GL,41.0,86,75,14.99,1592581480,-37.64,65.61
Tynda,RU,51.49,93,100,6.31,1592581481,124.72,55.17
Sur,OM,87.67,67,19,14.83,1592581013,59.53,22.57
Stepnyak,KZ,46.54,60,44,8.37,1592581481,70.78,52.83
Ola,RU,47.28,92,38,2.66,1592580909,151.28,59.58
Pringsewu,ID,72.93,92,84,0.94,1592581109,104.97,-5.36
Boddam,GB,66.99,87,75,9.17,1592581481,-1.78,57.47
Seoul,KR,71.6,88,0,1.12,1592581340,126.98,37.57
Prince Rupert,CA,57.2,100,90,2.24,1592581029,-130.32,54.32
Hithadhoo,MV,84.83,70,96,3.22,1592581482,73.08,-0.6
Puri,IN,86.0,89,20,9.17,1592581482,85.85,19.8
Lakatoro,VU,77.0,88,75,8.05,1592581482,167.42,-16.1
Hoi An,VN,86.0,79,20,5.97,1592581482,108.33,15.88
Ucluelet,CA,59.0,93,75,4.7,1592581102,-125.55,48.93
Lagoa,PT,65.26,89,22,17.98,1592581483,-27.98,39.05
North Bend,US,55.0,100,90,9.31,1592580930,-124.22,43.41
Nantucket,US,73.99,83,90,12.75,1592581483,-70.1,41.28
Lebu,CL,54.03,84,11,11.5,1592580997,-73.65,-37.62
Galle,LK,81.82,87,72,8.3,1592581484,80.22,6.04
Rubtsovsk,RU,48.69,89,42,4.38,1592581484,81.25,51.5
Williamsport,US,75.2,64,40,9.17,1592581316,-77.0,41.24
Tuktoyaktuk,CA,41.0,86,90,6.93,1592581484,-133.04,69.45
Klaksvík,FO,66.2,52,88,3.36,1592580902,-6.59,62.23
Bandarbeyla,SO,81.82,69,27,29.71,1592581023,50.81,9.49
Marsabit,KE,74.5,47,57,8.46,1592580921,37.99,2.33
Lūnāvāda,IN,90.21,59,36,18.79,1592581485,73.62,23.13
Watertown,US,84.99,54,40,11.41,1592581235,-71.18,42.37
Uthai Thani,TH,78.64,85,81,3.85,1592581485,100.02,15.38
Clyde River,CA,32.0,78,75,10.29,1592581485,-68.59,70.47
Aleksandrovskoye,RU,73.4,73,75,8.95,1592580899,43.0,44.71
Alofi,NU,71.6,68,2,10.29,1592581037,-169.92,-19.06
Mayor Pablo Lagerenza,PY,92.01,34,0,17.83,1592580920,-60.77,-19.93
Szentgotthárd,HU,72.0,32,64,7.0,1592581486,16.27,46.95
Kinlochleven,GB,64.0,75,54,2.89,1592581486,-4.97,56.71
Potchefstroom,ZA,51.73,46,0,4.88,1592581486,27.1,-26.72
Minatitlán,MX,86.0,79,40,6.53,1592581486,-94.52,17.98
Iwaki,JP,64.0,95,88,8.01,1592581486,140.88,37.05
Villa Luvianos,MX,76.1,72,56,1.99,1592581486,-100.4,18.92
Columbia,US,84.0,65,1,9.17,1592581308,-81.03,34.0
Sinnamary,GF,83.97,72,37,9.26,1592581111,-52.95,5.38
Taltal,CL,65.43,53,25,4.09,1592580932,-70.48,-25.4
Tall Kayf,TR,89.6,21,20,13.87,1592581487,41.07,37.08
Hong Kong,HK,84.0,70,90,7.52,1592581487,114.16,22.29
Pontian Kecil,MY,79.0,94,20,1.12,1592581487,103.39,1.48
Guerrero Negro,MX,68.22,65,1,14.83,1592581487,-114.06,27.98
Galich,RU,72.57,77,89,7.63,1592581488,42.35,58.38
Bluff,NZ,39.0,83,100,3.0,1592581001,168.33,-46.6
Port Blair,IN,83.32,81,100,10.38,1592581488,92.75,11.67
Bengkulu,ID,77.11,88,67,4.76,1592581488,102.27,-3.8
Festus,US,84.0,61,30,5.03,1592581488,-90.4,38.22
La Ronge,CA,41.0,93,75,12.75,1592581035,-105.28,55.1
Živinice,BA,82.4,34,20,4.7,1592581488,18.65,44.45
Mizdah,LY,103.1,8,0,15.46,1592581489,12.98,31.45
Carolina,PR,91.4,55,20,17.22,1592581489,-65.96,18.38
Nome,US,57.99,87,90,3.15,1592580786,-165.41,64.5
Geraldton,AU,50.0,81,0,3.36,1592580918,114.6,-28.77
Nhulunbuy,AU,77.04,79,22,14.41,1592581067,136.77,-12.23
Derzhavīnsk,KZ,55.65,48,3,9.6,1592581489,66.32,51.1
Alekseyevsk,RU,54.54,73,0,4.36,1592581489,108.35,57.84
Broome,US,78.01,73,75,4.03,1592581490,-75.83,42.25
Umeå,SE,66.2,48,4,10.29,1592581490,20.26,63.83
Juneau,US,54.0,93,90,10.29,1592581035,-134.42,58.3
Okha,RU,39.54,96,99,5.68,1592581065,142.95,53.57
Abbeville,FR,64.0,77,89,10.49,1592581490,1.83,50.1
Khakhea,BW,53.73,41,0,4.72,1592581490,23.49,-24.69
Verkhnyaya Inta,RU,52.63,81,99,10.89,1592581490,60.31,65.98
Kedrovyy,RU,62.6,82,40,6.71,1592581491,91.82,56.17
Codrington,AU,51.64,83,78,12.8,1592581491,141.97,-38.27
Haines Junction,CA,54.52,60,97,4.45,1592581018,-137.51,60.75
Uruaçu,BR,85.08,35,11,7.9,1592581257,-49.14,-14.52
Hobyo,SO,80.53,71,99,29.46,1592581054,48.53,5.35
Båtsfjord,NO,48.2,61,75,14.99,1592581491,29.72,70.63
Miramar,US,87.01,79,40,5.82,1592580939,-80.23,25.99
Laranjeiras do Sul,BR,71.42,69,5,9.08,1592581492,-52.42,-25.41
Pevek,RU,42.33,66,23,4.83,1592581492,170.31,69.7
Barra do Corda,BR,87.01,53,6,7.92,1592581492,-45.25,-5.5
Amga,RU,56.82,76,41,1.66,1592581492,131.96,60.9
Mocuba,MZ,64.72,94,97,4.52,1592581493,36.99,-16.84
Son La,VN,72.64,92,73,2.21,1592581382,103.9,21.32
Nortelândia,BR,90.14,36,9,6.73,1592581493,-56.8,-14.45
Nikolskoye,RU,75.2,47,40,11.18,1592581017,30.79,59.7
Almaznyy,RU,82.4,34,20,4.47,1592581494,40.05,48.04
Dawson,US,89.6,58,1,4.7,1592581494,-84.45,31.77
San Quintín,MX,63.95,68,97,7.94,1592581068,-115.95,30.48
Ishinomaki,JP,64.47,88,97,2.19,1592581494,141.3,38.42
Ribeira Grande,PT,71.6,78,75,16.11,1592581015,-28.7,38.52
Gerede,TR,57.56,88,78,6.02,1592581495,32.2,40.8
Airai,TL,57.04,100,98,3.67,1592581495,125.41,-8.93
Fort-Shevchenko,KZ,85.86,37,99,24.79,1592581495,50.26,44.51
Banda Aceh,ID,80.85,78,80,7.94,1592581062,95.32,5.56
The Pas,CA,41.0,93,90,4.7,1592581478,-101.25,53.83
Richards Bay,ZA,62.76,83,0,1.05,1592580929,32.04,-28.78
Bhag,PK,107.29,8,0,7.18,1592581495,67.82,29.04
Fairbanks,US,57.2,93,90,2.39,1592581496,-147.72,64.84
Saint-Pierre,RE,71.6,64,40,23.04,1592581496,55.48,-21.34
Terney,RU,49.1,89,74,2.71,1592581496,136.61,45.05
Alice Springs,AU,51.8,40,0,5.82,1592581496,133.88,-23.7
Tiznit Province,MA,75.16,51,0,10.25,1592580931,-9.5,29.58
Maţāy,EG,94.55,14,0,16.02,1592581496,30.78,28.42
Namatanai,PG,79.84,81,14,4.59,1592581496,152.43,-3.67
Jacareacanga,BR,86.0,66,26,4.7,1592581074,-57.75,-6.22
Bulgan,MN,55.89,77,80,2.59,1592581497,103.53,48.81
Itoman,JP,82.4,94,20,11.41,1592580940,127.67,26.12
Aire-sur-la-Lys,FR,69.01,79,82,1.01,1592581497,2.4,50.64
Batemans Bay,AU,48.0,100,19,4.92,1592581084,150.18,-35.72
Pemangkat,ID,78.06,90,100,6.24,1592581497,108.97,1.17
Faanui,PF,80.11,78,19,6.44,1592581497,-151.75,-16.48
Tagāb,AF,84.2,14,40,13.87,1592581498,69.65,34.85
Maraã,BR,81.91,87,47,3.49,1592580920,-65.37,-1.83
Soyaux,FR,72.0,56,75,6.93,1592581498,0.2,45.65
Faya,SA,77.0,64,40,5.82,1592581014,42.45,18.39
Brigantine,US,78.8,61,75,8.05,1592581498,-74.36,39.41
Seesen,DE,73.0,62,69,8.19,1592581498,10.18,51.9
Port Macquarie,AU,54.0,97,42,5.41,1592581076,152.92,-31.43
Yangi Marg`ilon,UZ,84.2,20,15,2.24,1592581499,71.72,40.43
Dawei,MM,76.12,89,100,1.88,1592581499,98.2,14.08
Sitka,US,51.8,87,90,3.29,1592580922,-135.33,57.05
Saint Anthony,US,70.0,60,1,8.05,1592581047,-93.22,45.02
Kununurra,AU,62.6,38,2,10.47,1592581499,128.73,-15.77
Uíge,AO,86.0,33,20,4.7,1592581499,15.06,-7.61
Kano,NG,96.35,25,88,2.37,1592581500,8.52,12.0
Chicama,PE,73.26,56,1,8.84,1592581051,-79.15,-7.84
Elsterwerda,DE,64.0,82,40,10.29,1592581500,13.53,51.45
Øksfjord,NO,50.0,57,75,11.41,1592581500,22.35,70.24
Luanda,AO,77.0,83,29,10.29,1592580941,13.23,-8.84
Afşin,TR,68.54,48,81,4.34,1592581500,36.91,38.25
Boyuibe,BO,80.01,49,0,10.74,1592581053,-63.28,-20.42
Portsmouth,GB,63.0,77,44,8.99,1592581501,-1.09,50.8
Bambous Virieux,MU,72.0,68,75,16.11,1592581501,57.76,-20.34
Tessalit,ML,104.85,11,43,12.12,1592581006,1.01,20.2
St. George's,GD,84.2,79,20,23.04,1592580922,-61.75,12.06
Hämeenlinna,FI,82.0,50,40,7.67,1592581502,24.46,61.0
Husavik,IS,53.6,66,20,10.29,1592581502,-17.34,66.04
Ilawe,NG,76.78,88,84,3.8,1592581502,4.43,7.87
Tigil',RU,46.89,89,0,3.36,1592581502,158.67,57.8
Sredniy Ikorets,RU,74.95,84,72,7.99,1592581503,39.76,51.07
Tinskoy,RU,59.07,86,72,5.79,1592581503,96.92,56.15
Port Hardy,CA,59.0,93,90,8.05,1592581263,-127.42,50.7
Chase,CA,63.0,82,75,1.41,1592581385,-119.69,50.82
Ketchikan,US,55.4,100,90,5.82,1592581017,-131.65,55.34
Tuma,RU,74.77,69,0,6.13,1592581503,40.55,55.15
Lázaro Cárdenas,MX,86.22,53,78,1.68,1592581216,-102.2,17.96
Otane,NZ,51.01,96,100,1.99,1592581503,176.63,-39.88
Tommot,RU,54.05,88,96,1.68,1592581066,126.29,58.96
Turukhansk,RU,52.09,96,93,4.07,1592581081,87.98,65.82
Zlynka,RU,75.2,60,75,11.18,1592581504,31.74,52.43
Iqaluit,CA,41.0,79,90,10.29,1592580832,-68.51,63.75
Española,US,71.01,39,1,14.99,1592581504,-106.08,35.99
Beringovskiy,RU,47.91,59,44,7.02,1592581050,179.32,63.05
Pemberton,CA,59.0,72,90,1.3,1592581504,-122.8,50.32
Uren',RU,68.16,73,4,7.58,1592581505,45.79,57.46
Åmot,NO,82.0,37,62,1.99,1592581505,7.99,59.57
Gold Coast,AU,59.0,87,90,6.93,1592581268,153.43,-28.0
Menongue,AO,68.56,33,23,4.65,1592581505,17.69,-14.66
Waipawa,NZ,55.0,96,70,1.34,1592581505,175.52,-41.41
São Filipe,CV,78.75,70,0,8.77,1592581505,-24.5,14.9
Yakeshi,CN,55.47,82,2,4.45,1592581505,120.73,49.28
Kabansk,RU,62.6,67,40,8.95,1592581506,106.65,52.05
Pāsighāt,IN,80.51,76,47,3.31,1592581039,95.33,28.07
Pangody,RU,44.98,59,30,5.19,1592581506,74.49,65.85
Cockburn Town,TC,82.94,79,5,17.13,1592581373,-71.14,21.46
Kautokeino,NO,56.23,40,0,9.37,1592581507,23.04,69.01
Yar-Sale,RU,44.67,60,16,12.93,1592581507,70.83,66.83
Nanortalik,GL,40.14,86,100,6.78,1592581507,-45.24,60.14
Malartic,CA,80.01,44,5,4.7,1592581064,-78.13,48.13
Sterling,US,78.01,83,90,3.36,1592580961,-77.43,39.01
Immenstadt,DE,64.99,51,98,1.99,1592581508,10.22,47.56
Gornopravdinsk,RU,46.71,62,29,3.67,1592581508,69.9,60.05
Farmington,US,72.0,20,1,6.93,1592581508,-108.22,36.73
Pangnirtung,CA,37.4,93,75,5.82,1592581508,-65.71,66.15
Honāvar,IN,80.98,87,100,6.04,1592581508,74.45,14.28
Kumul,CN,86.68,17,75,4.63,1592581055,93.45,42.8
Olavarría,AR,48.99,85,100,3.0,1592581509,-60.32,-36.89
Keningau,MY,80.6,94,40,3.36,1592581509,116.16,5.34
Tarko-Sale,RU,51.01,54,88,14.79,1592581509,77.78,64.92
Acapulco de Juárez,MX,80.6,78,75,6.93,1592581439,-99.89,16.86
General Roca,AR,55.4,43,0,11.41,1592581015,-67.58,-39.03
Itarema,BR,84.99,67,17,13.53,1592581510,-39.92,-2.92
Fortuna,US,61.0,93,20,3.36,1592581510,-124.16,40.6
Ca Mau,VN,80.76,83,100,3.6,1592581453,105.15,9.18
Mount Gambier,AU,48.2,93,100,9.17,1592581510,140.77,-37.83
Majene,ID,78.4,87,100,11.9,1592581510,118.97,-3.54
Kamloops,CA,66.2,68,75,2.01,1592581315,-120.32,50.67
Fécamp,FR,66.99,72,54,5.82,1592581511,0.37,49.76
Henties Bay,NA,77.0,40,0,10.22,1592581511,14.28,-22.12
Laguna,US,72.0,59,1,4.7,1592580929,-121.42,38.42
Tautira,PF,77.0,88,75,4.7,1592581511,-149.15,-17.73
Skibbereen,IE,62.6,59,75,12.75,1592581013,-9.27,51.55
Sirte,LY,88.95,29,0,16.35,1592581511,16.59,31.21
Nemuro,JP,53.04,99,100,1.32,1592581512,145.57,43.32
Thinadhoo,MV,84.96,71,66,1.88,1592581512,72.93,0.53
Marsh Harbour,BS,81.57,79,100,12.19,1592581512,-77.06,26.54
Atakpamé,TG,81.37,72,71,3.44,1592581512,1.13,7.53
Nago,JP,82.4,94,20,14.99,1592581512,127.98,26.59
Yerbogachën,RU,55.69,64,2,3.33,1592581017,108.01,61.28
Naples,IT,79.0,50,20,3.36,1592581513,14.25,40.83
Freeport,US,79.0,65,20,9.17,1592581004,-73.58,40.66
Chara,RU,49.06,74,87,0.65,1592581513,118.26,56.91
Walvis Bay,NA,89.6,29,0,11.41,1592581513,14.51,-22.96
Craig,US,55.4,37,1,0.4,1592581513,-107.55,40.52
Aswān,EG,97.32,11,0,14.79,1592581102,32.91,24.09
Fukuechō,JP,71.42,77,17,18.72,1592581056,128.84,32.69
Cayenne,GF,87.8,62,14,9.17,1592581513,-52.33,4.93
Gamba,GA,75.9,80,78,7.43,1592581010,10.0,-2.65
Durban,ZA,69.01,72,0,1.99,1592581504,31.03,-29.86
Romitan,UZ,87.8,18,0,9.17,1592581514,64.38,39.93
Le Pradet,FR,77.0,38,0,23.04,1592581514,6.02,43.11
Eurajoki,FI,78.8,44,27,11.41,1592581514,21.73,61.2
Qaryat Sulūq,LY,93.22,16,0,12.68,1592581514,20.25,31.67
Gravdal,NO,55.4,58,0,17.22,1592581514,13.5,68.12
Mahdalynivka,UA,80.6,57,31,4.47,1592581514,34.92,48.92
Starogard Gdański,PL,73.99,68,20,8.05,1592581514,18.53,53.96
Shubarshi,KZ,72.57,31,0,13.06,1592581515,57.19,48.59
Kidal,ML,102.38,18,80,12.19,1592581515,1.41,18.44
Flin Flon,CA,41.0,93,90,5.82,1592581022,-101.86,54.77
Gresham,US,66.0,72,1,2.86,1592581063,-122.43,45.5
Santa Rosa,PH,80.01,94,75,2.24,1592581515,121.11,14.31
Muisne,EC,77.0,94,75,8.05,1592581059,-80.03,0.6
