City,Latitude,Temperature,Humidity,Cloudiness,Windspeed
Sept-Îles,50.2,64.99,82,75,2.24
Esperance,-33.87,57.2,76,40,12.75
Ipameri,-17.72,75.34,45,67,8.61
Hithadhoo,-0.6,84.36,77,100,11.41
Atuona,-9.8,78.48,73,5,16.08
Calatayud,41.35,89.6,44,0,11.41
Bar Harbor,44.39,66.99,93,90,8.05
Port Alfred,-33.59,72.0,47,0,3.0
Dusetos,55.75,76.19,48,93,8.3
Kidal,18.44,106.59,10,91,6.87
Talnakh,69.49,60.8,51,57,4.47
Calvinia,-31.47,71.76,21,0,19.89
Ballina,-28.87,52.0,62,0,12.75
Provideniya,64.38,39.97,73,9,4.99
Coxim,-18.51,83.17,36,94,10.49
Coihueco,-36.62,46.4,100,90,9.17
Bambous Virieux,-20.34,73.4,73,40,8.05
Ilulissat,69.22,39.2,86,90,5.82
Katherine,-14.47,64.4,48,0,5.82
Cherskiy,68.75,38.43,75,63,11.41
Constitución,-35.33,53.2,77,82,7.16
Lima,-12.04,60.8,87,90,4.7
Bluff,-46.6,39.0,83,28,3.0
Butaritari,3.07,82.89,75,7,13.87
Guerrero Negro,27.98,63.66,84,100,9.28
Mahébourg,-20.41,73.4,73,40,8.05
Anadyr,64.75,46.4,93,40,4.47
Mataura,-46.19,39.0,83,2,3.0
Hilo,19.73,69.8,77,1,5.82
Evensk,61.95,51.17,76,7,3.02
Beringovskiy,63.05,36.7,81,0,8.23
Qaanaaq,77.48,37.02,88,10,1.59
Faanui,-16.48,77.56,81,74,19.08
Avarua,-21.21,75.2,78,86,10.29
Upernavik,72.79,35.51,86,62,10.51
Smolenka,52.14,57.2,93,100,8.95
Tysmenytsya,48.9,66.2,93,75,4.47
Ulaangom,49.98,61.57,38,0,2.68
Hong Kong,22.29,86.0,74,78,11.01
Nālūt,30.33,90.45,17,0,9.66
Nísia Floresta,-6.09,80.6,65,16,16.11
Verkhoyansk,67.54,74.48,38,0,7.4
Kenora,49.82,55.4,93,75,3.36
Pangnirtung,66.15,39.2,93,90,6.93
Douentza,15.0,105.39,18,98,5.39
Kruisfontein,-34.0,64.69,52,0,6.17
Roebourne,-20.78,69.94,52,0,3.98
Castro,-24.79,68.43,63,100,8.34
Saint-Augustin,51.23,69.24,69,73,10.38
Port Hardy,50.7,53.6,100,90,2.24
Gobabis,-22.45,75.2,13,0,8.05
Kualakapuas,-3.01,74.23,96,100,3.49
Wewak,-3.55,80.55,80,55,5.03
Miandrivazo,-19.52,86.07,46,0,2.8
Kawalu,-7.38,71.62,92,38,1.74
Venado Tuerto,-33.75,51.01,99,100,13.0
Longyearbyen,78.22,46.4,70,20,3.36
New Norfolk,-42.78,53.01,91,100,1.99
Emba,48.83,77.27,23,0,8.86
Poum,-20.23,74.23,73,3,11.59
Severo-Kuril'sk,50.68,45.66,82,50,11.23
Port Elizabeth,-33.92,71.6,35,0,12.75
Katsina,12.99,95.88,27,33,3.47
Cooma,-36.23,42.8,75,75,12.75
Lumberton,34.62,75.2,88,1,6.93
Barrow,71.29,32.0,96,90,8.05
Kashgar,39.45,82.4,17,40,22.37
Takoradze,4.88,80.64,77,100,10.4
Ixtapa,20.7,78.8,78,75,1.63
Yulara,-25.24,46.4,45,0,1.12
São João da Barra,-21.64,75.2,69,99,5.82
Comodoro Rivadavia,-45.87,37.4,74,100,3.36
North Bend,43.41,57.0,93,1,5.82
Sitka,57.05,51.8,87,75,1.25
Chui,-33.7,67.8,85,67,12.57
Aklavik,68.22,41.0,86,90,18.34
Bemidji,47.47,64.0,82,1,5.82
Nanortalik,60.14,43.38,78,11,9.78
Chittaurgarh,24.88,82.36,71,100,22.46
Punta Arenas,-53.15,39.2,81,75,14.99
Vasto,42.12,73.99,44,0,5.99
Garden City,42.33,69.8,93,90,4.7
Torbay,47.67,75.99,73,20,18.34
Oddur,4.12,87.21,44,25,21.54
Dawlatabad,36.41,100.44,11,0,15.35
Hasaki,35.73,70.0,100,75,5.82
Lubango,-14.92,71.6,20,6,11.41
Saldanha,-33.01,64.4,55,0,3.36
Katsuura,35.13,73.99,94,40,4.7
Tessalit,20.2,107.33,6,0,6.22
Aljezur,37.32,78.01,63,2,6.49
Laguna,38.42,63.0,82,1,5.82
Flinders,-34.58,54.0,64,2,8.99
Tuktoyaktuk,69.45,37.4,100,90,21.92
Saint George,37.1,75.2,14,1,5.82
Xichang,27.9,69.01,76,100,4.07
Margate,51.38,78.01,50,0,1.99
Opuwo,-18.06,78.73,17,0,13.18
Beyneu,45.32,93.6,12,0,9.48
George Town,5.41,86.0,79,20,4.7
Ruteng,-8.61,61.92,100,99,3.62
Dongkan,34.0,73.2,97,86,7.38
Saint Paul Harbor,57.79,50.0,87,90,5.82
Sinnamary,5.38,80.85,82,69,3.78
Santa Elena,-2.23,73.4,94,90,9.17
Viedma,-40.81,49.06,50,0,11.3
Buritizeiro,-17.35,78.82,42,30,5.64
Linhares,-19.39,79.84,50,24,2.51
Labuhan,-6.88,79.43,81,40,6.15
Kumul,42.8,85.44,12,99,12.41
Asmara,15.33,72.41,38,100,7.58
Mitsamiouli,-11.38,84.2,74,40,23.04
Davila,18.47,82.4,78,20,4.7
Nadym,65.53,54.86,57,99,6.8
Iqaluit,63.75,42.8,81,75,16.11
Bulgan,48.81,52.83,86,59,6.73
Kisangani,0.52,87.58,52,96,2.35
Luwingu,-10.26,74.86,41,100,2.77
Warah,27.45,111.58,15,0,13.02
Fairbanks,64.84,50.0,93,100,4.72
Dingle,11.0,79.68,82,95,3.96
Argelia,2.26,72.7,66,95,2.71
Bethel,41.37,78.01,78,1,4.7
Riyadh,24.69,105.8,6,0,18.34
Havre-St-Pierre,50.23,66.2,82,1,8.05
Kargat,55.2,67.73,76,48,4.34
Isangel,-19.55,75.2,83,90,11.41
Mangit,40.6,93.2,20,20,9.17
Cabo San Lucas,22.89,78.8,31,5,11.41
Casambalangan,18.38,82.17,81,25,1.66
Tiksi,71.69,51.06,69,2,4.61
Lebu,-37.62,49.01,81,100,10.16
Prince Rupert,54.32,51.8,93,90,2.24
Bengkulu,-3.8,76.82,85,100,6.31
Lompoc,34.64,55.4,93,87,3.36
Kalat,29.02,85.28,19,49,12.62
Derbent,42.07,81.5,44,86,3.62
Catuday,16.29,83.26,78,100,6.82
Grindavik,63.84,51.8,71,75,18.34
Härnösand,62.63,81.0,50,0,11.41
Lázaro Cárdenas,17.96,81.63,71,80,3.56
Haines Junction,60.75,43.86,68,44,5.17
Khandagayty,50.73,57.87,52,0,3.06
Gillette,44.29,62.01,63,1,5.82
Vanavara,60.34,68.32,60,55,4.09
Yarke Pole,45.61,83.7,46,22,13.4
Pitimbu,-7.47,84.2,66,40,14.99
Mehamn,71.04,48.2,66,0,9.17
Salalah,17.02,86.0,84,20,8.05
Plettenberg Bay,-34.05,63.95,55,0,2.8
Klaksvík,62.23,55.4,82,49,14.99
Kūstī,13.16,102.15,20,22,3.87
Udachny,66.42,75.2,27,30,6.71
Fortuna,40.6,54.0,100,90,0.74
Mount Gambier,-37.83,51.8,100,75,5.82
Coria,39.99,99.0,18,0,1.01
Domoni,-12.26,77.09,76,0,13.35
Máncora,-4.11,64.4,82,0,18.34
Tilichiki,60.47,53.37,76,97,6.53
Passos,-20.72,70.92,50,100,5.44
Korsholm,63.11,75.2,38,90,10.29
Bredasdorp,-34.53,69.8,46,0,3.49
Puri,19.8,89.6,75,40,10.29
Kindia,10.06,88.41,61,42,2.26
Kyustendil,42.28,60.67,85,100,1.83
Rāwah,34.48,102.04,9,0,16.06
Abū Zabad,12.35,98.78,22,77,3.36
Gizo Government Station,-8.1,81.9,79,97,8.84
Aksu,41.12,90.37,13,100,3.58
Saint-Pierre,-21.34,75.2,64,3,23.04
Melo,-32.37,71.19,78,48,17.43
Kavieng,-2.57,83.44,77,65,11.79
Meulaboh,4.14,76.71,79,98,3.49
Dmitriyevka,54.75,69.8,37,0,6.71
Mar del Plata,-38.0,53.01,93,75,5.82
Yantal',56.85,59.74,84,0,1.79
Maués,-3.38,85.51,65,1,2.8
Dunda,-8.12,84.16,27,47,8.32
Buckie,57.68,69.01,60,75,5.82
Palmer,42.16,81.0,69,20,6.93
Goundi,9.36,99.48,31,1,2.39
Broome,42.25,73.99,82,90,6.93
Chokurdakh,70.63,60.66,43,39,8.5
Dongsheng,39.82,75.42,28,11,5.95
Gurlan,41.84,98.6,11,1,11.41
Narsaq,60.92,55.4,58,20,4.7
Lagoa,39.05,60.37,85,100,16.73
Vestmannaeyjar,63.44,51.8,81,90,23.04
Keti Bandar,24.14,90.63,67,0,13.13
Namwala,-15.75,74.75,27,16,7.25
Solnechnyy,50.72,47.82,90,87,2.77
Kasane,-17.82,77.0,23,20,9.17
Hidalgo,20.5,66.22,61,94,0.54
Makarov,48.63,47.41,94,100,4.23
Beidao,34.57,70.83,51,1,3.33
Uthal,25.81,92.62,54,0,11.12
Maceió,-9.67,80.6,74,75,19.46
Williston,48.15,61.0,74,49,1.01
Srikakulam,18.3,85.95,74,1,10.65
Namatanai,-3.67,81.66,78,90,7.58
Bandarbeyla,9.49,87.51,56,0,28.57
Dosso,13.05,101.48,24,10,0.98
Aguililla,18.73,70.02,90,100,2.71
Arraial do Cabo,-22.97,75.2,73,75,14.99
Taoudenni,22.68,114.6,6,11,18.97
Korla,41.76,88.93,12,95,2.46
Patti,31.28,96.8,53,40,5.82
Paamiut,61.99,40.03,81,21,21.56
Leningradskiy,69.38,31.98,98,100,15.64
Burnie,-41.07,51.01,71,91,5.99
Mina,26.0,77.0,83,90,5.82
Weligama,5.97,81.05,82,100,8.72
Tepic,21.5,69.8,100,90,1.43
Moose Factory,51.26,46.4,100,90,10.29
Sungai Raya,0.7,79.57,80,100,1.95
Sisimiut,66.94,42.8,66,0,6.82
Portel,-1.94,85.96,55,96,4.14
Talara,-4.58,64.4,82,0,18.34
Pemangkat,1.17,79.74,78,99,2.42
Santa Cruz de la Sierra,-17.8,75.2,83,20,17.22
Lanzhou,36.06,70.0,91,0,2.68
Pukë,42.04,86.0,33,75,17.22
La Unión,-5.4,69.44,67,35,6.44
Makat,47.65,88.3,13,0,8.08
Yarmouth,41.71,68.0,88,90,6.93
Harper,4.38,80.24,74,59,12.39
Iquique,-20.22,64.4,59,90,3.36
Paris,48.85,84.2,34,0,9.17
Camacha,33.08,71.6,68,75,16.11
The Pas,53.83,64.4,63,1,6.93
Daşoguz,41.84,98.6,13,0,13.87
Te Anau,-45.42,41.22,89,40,1.19
Estelle,29.85,87.01,88,75,4.7
Sakakah,29.97,100.4,5,0,17.22
Havøysund,71.0,59.0,81,100,10.29
Upington,-28.45,77.0,17,0,9.17
Tautira,-17.73,73.4,73,40,3.36
Yerbogachën,61.28,64.0,60,89,4.74
Farah,32.5,102.13,8,0,20.13
Karabash,55.48,62.47,53,97,8.72
Ulety,51.36,55.04,91,94,4.56
Nara,34.69,80.01,20,1,2.66
Morondava,-20.28,78.4,69,36,16.46
Pevek,69.7,31.15,99,99,9.1
Mandalgovi,45.76,65.61,27,77,5.35
Along,28.17,75.6,88,93,0.29
Manjacaze,-24.71,71.53,61,0,7.27
Mazamari,-11.33,74.84,63,53,1.81
Srednekolymsk,67.45,53.49,45,1,10.0
Nikolskoye,59.7,77.0,33,0,6.71
Kaeo,-35.1,59.0,3,95,8.99
Soc Trang,9.6,83.07,76,96,5.03
Jumla,29.27,63.37,71,60,1.74
Phonhong,18.5,82.4,78,40,4.7
Thompson,55.74,60.8,82,20,5.82
Hamilton,39.18,72.0,94,90,10.29
Nchelenge,-9.35,78.85,42,2,5.79
Marsh Harbour,26.54,82.53,77,29,9.08
Bhind,26.56,94.26,47,0,10.8
Novopskov,49.55,79.65,65,93,5.99
Airai,-8.93,54.77,100,34,3.53
Chimbote,-9.09,63.86,82,61,8.1
Nicoya,10.15,78.8,88,75,4.7
Marabu,4.41,80.6,94,75,4.7
Kahului,20.89,71.6,73,1,5.82
Dongying,37.46,70.68,83,100,11.05
San Quintín,30.48,64.49,86,99,7.92
Khovd,48.01,63.32,29,0,2.55
Sioux Lookout,50.1,59.0,72,40,2.24
Visby,57.64,75.99,72,12,12.75
Cotonou,6.37,84.2,79,40,8.05
Barra de Tecoanapa,16.52,83.59,66,99,5.44
Hanyang,32.14,69.01,82,10,1.01
Ayagoz,47.97,75.58,28,96,9.28
El Alto,-4.27,64.4,82,0,18.34
Turukhansk,65.82,61.54,58,6,8.5
Seredeyskiy,54.05,67.44,76,32,6.8
Jiamusi,46.83,60.12,97,100,5.21
Mālpura,26.28,101.61,26,72,10.0
Angoram,-4.06,75.06,96,47,1.25
Honningsvåg,70.98,44.6,81,6,10.29
Mollendo,-17.02,63.1,66,62,6.62
Naze,28.37,77.0,88,75,10.29
Nikologory,56.14,67.59,69,97,5.88
Mount Isa,-20.73,55.4,32,0,9.17
Coquimbo,-29.95,53.6,93,90,3.36
Yar-Sale,66.83,52.95,52,70,10.71
Tiarei,-17.53,73.4,73,40,3.36
Basco,20.45,85.14,79,100,11.74
Olenino,56.21,73.36,48,0,6.17
Hohhot,40.81,75.2,31,0,8.95
Revelstoke,50.98,59.0,87,40,3.83
Antofagasta,-23.65,59.0,72,75,6.93
Emmen,52.78,79.0,38,20,4.7
Baykit,61.67,66.27,73,46,0.98
Adrar,20.5,110.97,6,0,7.45
Saint Augustine,29.89,82.99,83,1,5.82
San Jose,37.34,61.0,87,20,9.17
Dekar,-21.53,72.91,20,0,10.56
Bayangol,50.7,49.6,83,50,4.59
Ndélé,8.41,90.16,50,16,2.33
Yining,29.04,73.72,93,100,0.43
Arrecife,28.96,80.6,51,20,19.46
Kédougou,12.56,77.0,78,90,6.93
Shaunavon,49.65,67.21,61,58,7.52
Muros,42.78,73.99,72,7,13.0
Fort Nelson,58.81,51.8,66,40,4.7
Boma,7.08,91.98,45,31,3.31
Kosh-Agach,50.0,57.2,45,0,3.56
Arrondissement de Gap,44.67,82.0,41,42,4.94
Corinth,37.94,80.01,47,40,11.99
Daru,-9.08,77.99,85,90,12.88
Gouré,13.98,102.0,20,0,4.0
Voh,-20.97,68.23,78,0,0.65
Husavik,66.04,51.8,71,40,10.29
Nizwá,22.93,103.41,20,59,2.73
Merauke,-8.47,77.5,81,0,15.7
Port Moresby,-9.44,80.6,88,75,11.41
Nagykálló,47.87,71.6,60,75,24.16
Sakaraha,-22.9,76.05,46,0,4.61
Pacific Grove,36.62,57.2,87,90,2.26
Dalvik,65.97,51.8,71,40,10.29
Samagaltay,50.6,52.88,71,19,3.38
Mackenzie,55.3,50.0,87,90,8.05
Ostrovnoy,68.05,40.87,70,96,16.28
Guadalupe,25.68,78.8,83,40,5.82
Monforte de Lemos,42.52,97.0,31,0,1.99
Turka,49.15,60.01,85,100,8.68
Shelburne,44.08,75.2,73,20,6.93
La Ronge,55.1,60.8,72,20,4.7
Ugoofaaru,5.67,84.11,80,89,12.15
Macia,-25.03,72.5,59,0,4.63
Abu Dhabi,24.47,96.8,53,10,9.17
Verkh-Usugli,52.7,54.91,74,68,1.95
Gander,48.97,73.4,73,75,14.99
Turbat,26.0,94.33,42,0,15.1
Gijang,35.24,75.2,60,100,6.93
Östersund,63.18,77.0,38,78,3.36
Durrës,41.32,80.6,61,40,8.05
Vaitape,-16.52,78.42,79,68,18.9
Lyubim,58.36,72.36,47,32,7.43
Al Bardīyah,31.76,75.69,62,1,16.06
Valdivia,-39.81,44.6,100,90,5.82
Tygda,53.12,52.97,89,93,0.89
Rabo de Peixe,37.8,66.2,93,75,17.22
Abaza,52.66,57.85,90,0,2.68
Myaundzha,63.05,57.96,75,100,4.76
Bathsheba,13.22,86.0,70,20,19.46
San Patricio,19.22,77.0,83,40,6.93
Port Keats,-14.25,70.05,35,0,11.65
Wokha,26.1,61.97,100,93,1.05
Santa Rosa,14.31,84.2,79,75,14.99
Santa Cruz de Barahona,18.21,87.8,70,20,9.17
Lahaina,20.88,72.0,73,1,5.82
Igarka,67.47,60.87,52,95,3.83
Reconquista,-29.15,75.4,65,89,10.42
North Port,27.04,87.01,78,36,1.99
Hobyo,5.35,81.3,72,24,29.95
Kavaratti,10.57,84.25,78,98,13.2
Ardakān,32.31,100.4,11,0,4.7
Wellington,-41.29,48.2,87,0,8.05
Cidreira,-30.18,72.01,65,7,5.61
Berlevåg,70.86,48.2,66,0,9.17
Matagami,49.75,69.8,73,100,3.51
Taldan,53.67,53.4,77,46,2.62
Salinas,36.68,57.2,87,90,4.7
Ngunguru,-35.62,59.0,96,100,8.99
Malakal,9.53,91.2,49,81,6.13
Yanam,16.73,85.59,74,62,6.8
‘Ewa Beach,21.32,75.2,73,40,6.93
Lao Cai,22.48,84.25,64,95,2.53
Gagret,31.67,97.3,25,1,1.79
Riohacha,11.54,85.89,66,100,19.62
Clyde River,70.47,41.0,86,90,12.75
Hutchinson,38.06,68.0,88,1,8.05
Mulanje,-16.03,69.89,63,11,8.61
Zamora,-4.07,64.4,72,40,2.24
Punta Cardon,11.66,82.87,71,40,26.28
The Valley,18.22,87.8,69,20,12.75
Jām Sāhib,26.3,104.0,38,92,9.17
Fevik,58.38,75.2,44,0,6.93
Dauphin,51.15,60.8,82,20,11.41
Kadrina,59.33,71.65,41,0,5.7
Bowmore,34.94,75.2,88,1,6.93
Valdemārpils,57.37,73.4,69,94,9.17
Caronport,50.45,62.6,63,75,2.24
Tenabo,20.05,80.6,83,90,13.87
Zhangaözen,43.3,93.88,12,0,10.83
Kerewan,13.49,89.6,66,75,13.87
La Rioja,42.25,87.8,29,7,6.93
Longyan,25.11,79.11,81,100,3.18
Wells,51.21,75.99,53,4,12.75
Ortaköy,38.74,87.8,15,20,18.34
Ginir,7.13,69.3,72,67,4.74
Kortkeros,61.81,66.2,37,75,6.71
Minggang,32.46,76.37,74,55,4.18
Bria,6.54,84.74,70,1,2.8
Hämeenlinna,61.0,84.0,33,6,3.42
Mūdbidri,13.08,84.2,79,20,6.93
Erenhot,43.65,83.16,14,1,10.33
Mingora,34.78,91.99,27,85,1.34
Solton,52.84,63.61,84,20,2.24
Souillac,-20.52,73.4,73,40,8.05
Sidhaulī,27.28,82.4,83,90,48.32
Hope,33.67,75.0,80,81,1.01
Ancud,-41.87,41.0,100,40,6.93
Tiznit Province,29.58,80.92,49,1,10.09
Ayan,56.45,43.84,91,100,3.96
Chumikan,54.72,39.63,96,57,9.78
Lüderitz,-26.65,73.4,38,0,10.29
Grand Gaube,-20.01,73.0,75,1,8.01
Lavrentiya,65.58,37.49,78,37,9.1
Almeirim,-1.52,85.84,59,4,3.51
Christchurch,-43.53,45.0,100,18,4.7
Ruza,55.7,71.6,53,13,6.71
Alofi,-19.06,69.8,94,34,2.24
Triunfo,-29.94,79.0,83,64,6.51
Mahon,39.89,80.6,61,20,10.29
Bowen,-20.02,57.99,87,0,5.82
São Paulo de Olivença,-3.38,83.5,69,11,1.79
Maniitsoq,65.42,40.73,78,0,8.9
Rāvar,31.27,98.02,9,0,11.61
Vila Velha,-20.33,75.2,64,62,5.82
Codrington,-38.27,54.52,88,79,3.91
Wajid,3.81,88.14,43,18,22.57
Olinda,-8.01,84.2,62,20,13.87
Boende,-0.22,92.46,39,77,2.24
Gumlā,23.05,81.25,74,28,6.91
Tauţ,46.28,72.0,77,75,13.87
Ucluelet,48.93,57.0,100,90,1.95
Province of Brindisi,40.58,86.0,65,10,20.8
Asău,46.43,64.99,84,29,3.47
Walvis Bay,-22.96,89.6,17,0,11.41
Buraidah,26.33,104.0,11,0,27.51
Sur,22.57,85.87,73,3,7.31
Iranduba,-3.28,80.6,83,75,5.82
Tommot,58.96,55.87,76,1,2.15
Terrace,54.52,50.0,93,75,9.17
Kikwit,-5.04,96.21,16,0,3.13
Dusnok,46.39,72.97,62,58,15.82
Tarko-Sale,64.92,57.76,52,46,6.64
Mataram,-8.58,77.0,78,20,5.82
Ossora,59.24,56.97,63,2,2.01
Igrim,63.19,55.08,69,67,3.78
Flin Flon,54.77,62.6,72,20,3.31
Banda Aceh,5.56,81.63,74,100,6.15
Niono,14.25,102.52,22,23,3.94
Itarema,-2.92,83.88,62,38,15.08
Pingzhuang,42.04,69.76,71,86,11.99
Manadhoo,5.77,84.11,80,92,12.01
Petropavlovsk-Kamchatskiy,53.05,53.6,93,88,2.24
Buin,-33.73,48.2,81,90,6.93
Kropotkin,45.44,85.98,52,31,4.38
Kaitangata,-46.28,46.0,78,28,4.07
Santhià,45.37,90.0,45,0,1.01
Qiqihar,47.34,56.77,94,100,8.19
Gashua,12.87,101.66,19,5,1.9
Tuatapere,-46.13,39.0,83,31,3.0
Jalu,29.03,94.84,21,0,13.13
Beyşehir,37.68,71.71,45,0,17.4
Emerald,-23.53,52.0,61,0,4.7
Shadrinsk,56.09,62.82,68,75,6.96
Taree,-31.9,48.2,76,0,1.12
Great Yarmouth,52.61,77.0,44,10,6.93
Biltine,14.53,106.72,7,0,4.0
Rafaela,-31.25,61.0,76,95,3.0
Guymon,36.68,66.2,82,1,5.82
Nola,40.92,87.01,37,0,4.0
Shirokiy,49.76,53.02,95,100,7.74
Batticaloa,7.71,84.04,74,100,6.71
Isoka,-10.16,74.75,44,1,5.59
Marystown,47.17,63.01,90,98,8.37
Champerico,14.3,77.0,88,75,6.22
Tocopilla,-22.09,64.13,54,18,2.93
San Miguel de Cozumel,20.51,84.0,94,20,3.36
Arrondissement de Bastia,42.67,84.2,45,0,6.93
La Asuncion,11.03,69.8,100,87,13.87
Joshīmath,30.57,68.79,60,83,0.96
Canto do Buriti,-8.11,86.99,46,0,10.78
Madang,-5.22,78.73,87,29,3.69
Touros,-5.2,80.6,65,76,16.11
Kiryat Gat,31.61,82.4,51,0,12.75
Cheney,47.49,60.8,63,20,6.93
Tura,25.52,77.07,94,98,5.3
Nīlēshwar,12.25,80.6,94,75,4.7
Carutapera,-1.2,87.19,56,71,3.98
Birin,26.89,66.87,98,52,1.41
Dudinka,69.41,60.8,51,43,4.47
Abu Samrah,35.3,90.19,15,0,19.57
Belaya Gora,68.53,67.17,45,7,8.43
Neuquén,-38.95,32.0,54,20,5.82
Port-Gentil,-0.72,80.6,78,40,12.75
Gamba,-2.65,77.09,73,82,10.69
Marsaxlokk,35.84,82.4,42,0,13.87
Sambava,-14.27,75.85,76,0,17.2
Tateyama,34.98,73.0,98,77,10.13
Tazovsky,67.47,48.29,63,100,7.07
Celestún,20.87,82.24,78,100,14.12
Boksburg,-26.21,63.0,36,0,5.88
Broken Hill,-31.95,51.8,71,90,8.16
Corinth,37.94,80.01,49,40,11.99
Taunggyi,20.78,67.03,100,95,3.33
Beauly,57.48,69.01,63,40,6.93
Bārmer,25.75,94.8,43,51,3.96
Bóly,45.97,77.0,50,8,18.34
Cedar City,37.68,62.6,39,1,3.36
Bud,39.45,68.0,88,75,6.93
Pisco,-13.7,61.0,87,75,5.82
Nortelândia,-14.45,85.28,31,0,8.86
Sri Aman,1.24,77.0,100,100,1.28
Oistins,13.07,86.0,70,20,19.46
Kangaba,11.93,97.21,35,98,3.36
Teahupoo,-17.83,73.4,73,40,3.36
Māndal,25.45,93.92,36,94,12.3
Milyutinskaya,48.63,81.75,48,21,9.71
Havelock,34.88,84.99,74,1,6.93
Port Macquarie,-31.43,42.01,92,0,9.89
Kajaani,64.23,78.8,44,0,12.75
Rongcheng,30.63,74.53,92,100,1.12
Half Moon Bay,37.46,61.0,93,90,9.17
Charlestown,-32.95,50.0,78,0,1.01
Atar,20.52,104.0,14,0,11.41
Khagaria,25.5,90.88,61,57,7.83
Pratāpgarh,24.03,77.16,84,100,6.22
Manokwari,-0.87,79.93,77,75,4.94
Chegutu,-18.13,71.51,25,35,3.85
Zhigansk,66.77,69.1,41,82,8.05
Luganville,-15.53,77.58,85,30,2.15
San Andrés,12.58,84.2,79,75,13.87
Pangody,65.85,56.12,41,92,1.86
Xining,36.62,58.32,46,18,3.49
Cabedelo,-6.98,84.2,66,40,14.99
Jurm,36.86,78.4,28,62,0.87
Yenangyaung,20.47,88.52,61,17,12.26
Praia,14.92,86.0,51,0,21.92
Byron Bay,-28.65,52.0,62,0,12.75
Juneau,58.3,52.0,93,75,3.36
